지점,지점명,일시,평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa)
108,서울,2018-01-06,-13.3,26,1310,45.8,2.2
108,서울,2018-01-07,-12.3,30,1425,42.1,2.4
108,서울,2018-01-08,-8.1,30,1149,51.9,3.4
108,서울,2018-01-09,-11.1,43,1224,59.4,2.7
108,서울,2018-01-10,-16.1,29,1555,52,1.8
108,서울,2018-01-11,-19.6,37,1253,49.8,1.3
108,서울,2018-01-12,-22.9,20,1601,35.4,1
108,서울,2018-01-13,-9.8,39,1,67.3,3
108,서울,2018-01-14,-5.6,48,1558,64.1,4
108,서울,2018-01-15,-2,33,1541,63.9,5.4
108,서울,2018-01-16,-3.9,35,1344,59.1,4.6
108,서울,2018-01-17,-1.8,49,1107,64.1,5.4
108,서울,2018-01-18,-5.5,33,1451,59.6,4.3
108,서울,2018-01-19,-10.6,20,1038,43,2.8
108,서울,2018-01-20,-5.3,42,1558,57.6,4.2
108,서울,2018-01-21,-13.6,16,1550,36.6,2.2
108,서울,2018-01-22,-8.8,25,1104,56.5,3.5
108,서울,2018-01-23,-22.4,24,1104,42,1.1
108,서울,2018-01-24,-27.6,23,1632,31.6,.7
108,서울,2018-01-25,-27,22,1342,32.6,.7
108,서울,2018-01-26,-27,26,1402,34.9,.7
108,서울,2018-01-27,-22,23,1350,37.4,1.1
108,서울,2018-01-28,-19.2,19,1355,36,1.4
108,서울,2018-01-29,-21.5,21,1218,35,1.1
108,서울,2018-01-30,-12,26,1046,62,2.8
108,서울,2018-01-31,-11.3,29,1505,54.5,2.7
108,서울,2018-02-01,-15,22,1401,44.1,1.9
108,서울,2018-02-02,-11.7,24,1544,51.1,2.5
108,서울,2018-02-03,-17.1,29,1502,47,1.7
108,서울,2018-02-04,-20.7,26,1612,40.9,1.2
108,서울,2018-02-05,-21.5,23,1357,37.8,1.1
108,서울,2018-02-06,-22.4,23,1556,36.5,1
108,서울,2018-02-07,-20.1,17,1640,39.8,1.2
108,서울,2018-02-08,-15.7,23,1409,43.3,1.8
108,서울,2018-02-09,-11.1,23,1442,43.9,2.8
108,서울,2018-02-10,-12.1,13,1843,47.4,3.1
108,서울,2018-02-11,-17.3,20,950,42.5,1.7
108,서울,2018-02-12,-17.5,23,1000,40.8,1.7
108,서울,2018-02-13,-9.1,37,1210,54.5,3.2
108,서울,2018-02-14,-6.3,27,2030,51,4.1
